bairro_id,preco_total,area,quartos,banheiros,vagas
100,1150,59,2,1,0
122,1455,50,2,1,1
124,1305,27,0,1,1
124,2450,95,3,1,1
44,2080,67,2,1,1
20,2210,95,2,3,2
6,4500,280,2,2,1
7,5767,129,3,2,2
83,950,50,1,1,1
65,4038,75,2,2,1
60,1735,50,2,1,1
67,3540,109,3,3,2
138,1620,70,2,2,1
67,2681,125,3,3,2
83,1750,27,0,1,0
30,12800,220,4,1,2
12,14167,184,0,2,0
83,1850,78,2,3,1
83,1760,70,2,2,1
83,1620,65,2,2,1
3,1518,46,2,1,1
30,3256,78,2,2,1
122,1150,25,0,1,1
20,1060,49,2,2,1
20,800,50,2,1,1
58,700,45,2,1,1
102,2730,70,2,2,1
59,4050,80,2,2,1
12,4869,59,2,3,1
83,1410,70,2,1,1
73,3900,70,2,1,0
30,3165,70,2,1,1
89,2250,60,2,1,1
60,1417,100,2,1,1
12,4910,90,2,2,1
65,4000,70,2,1,1
44,1550,69,2,2,0
122,1250,36,0,1,0
18,12900,440,0,2,0
103,11750,106,0,0,0
59,9500,150,3,3,1
97,1709,62,2,2,1
102,3324,84,3,2,2
99,1480,85,2,3,1
26,879,29,0,1,0
102,1770,45,2,1,1
74,3089,70,2,1,0
67,2325,75,2,1,1
60,1660,45,2,1,1
89,1061,32,0,1,1
26,1225,33,0,1,0
7,4559,55,1,1,1
30,2415,33,1,1,0
7,3600,80,2,2,1
30,1505,22,0,1,0
43,2784,94,2,2,2
12,3400,103,2,2,0
35,1990,300,2,2,3
43,1384,53,2,1,1
43,1467,50,2,1,1
76,1575,120,2,3,1
122,2300,80,2,2,1
12,2095,69,2,2,0
114,178,15,0,1,0
7,5509,30,0,0,4
26,3111,73,2,1,1
7,5395,125,4,3,2
105,2000,136,4,2,0
30,8755,103,2,2,3
23,2956,70,2,2,0
15,1500,66,2,2,1
60,2050,70,2,3,1
41,1633,50,2,1,0
134,2595,94,2,2,1
12,4118,71,2,2,1
124,2574,66,2,1,1
122,690,25,0,1,1
130,7300,222,4,3,3
119,2204,54,2,2,1
26,999,33,0,1,0
51,1165,63,2,2,1
21,2715,80,2,1,1
60,2180,70,2,1,2
30,3378,55,1,1,0
30,1400,35,1,1,0
48,2967,90,2,3,1
81,1080,50,1,1,0
40,1765,70,2,2,1
62,3850,68,2,2,1
26,1560,30,0,1,0
124,3717,98,3,2,1
72,3638,70,1,1,1
20,1435,100,2,2,1
102,3622,91,3,3,1
95,2794,68,2,2,1
2,1640,58,1,2,1
40,1670,80,2,1,1
100,58000,4400,0,0,0
12,3893,90,2,3,1
80,2052,139,2,2,1
12,3650,64,2,1,1
59,4640,85,2,1,0
74,4210,81,2,1,1
37,1265,40,2,1,1
120,1320,60,2,1,1
20,2050,90,2,2,1
83,1870,48,2,2,1
30,33450,223,0,0,2
124,2362,61,2,1,0
61,32600,601,4,4,4
60,1720,50,2,1,1
62,2064,52,2,1,1
83,1695,70,2,1,1
95,2230,93,2,2,2
134,1958,75,3,1,0
70,4024,85,2,3,1
20,1270,45,2,1,1
26,1185,28,0,1,1
30,3840,70,2,1,1
87,2000,300,2,2,1
20,1250,50,2,1,1
124,1892,65,2,2,1
64,1200,67,2,2,1
96,1788,63,2,1,1
90,1285,60,2,2,1
30,2897,80,2,2,0
89,2000,88,2,3,1
125,2050,50,2,2,1
21,1403,67,2,2,1
134,1274,50,2,1,0
40,1900,49,2,1,1
7,18150,250,4,6,3
30,3880,62,2,2,0
124,1800,55,2,1,0
7,8950,94,2,2,1
88,1262,55,2,1,2
30,1905,32,0,1,0
79,3032,76,2,1,1
7,5750,118,2,1,2
134,1900,87,2,1,0
62,2300,52,2,2,1
42,2448,58,1,2,0
124,2139,60,2,1,1
51,4000,75,0,0,0
59,37172,260,4,4,2
30,1150,30,0,1,0
30,1311,21,0,1,0
62,2020,48,2,1,1
118,3812,60,2,1,1
124,3437,135,2,1,2
89,1650,57,2,2,1
79,2082,67,2,2,0
79,1843,62,2,1,0
30,2986,70,2,1,0
20,1180,55,2,1,1
102,6598,210,4,4,4
88,1358,43,2,1,1
60,1950,92,2,1,1
124,2020,68,2,1,1
48,1560,65,2,2,0
20,1500,102,2,2,1
83,2324,69,2,2,1
83,1850,87,2,2,1
96,1480,49,2,1,1
40,1537,64,2,2,1
99,1850,56,2,2,1
12,1720,47,1,1,0
7,4450,100,0,2,1
26,825,41,0,1,0
7,30753,384,4,2,4
12,1870,35,1,1,0
119,2000,70,2,1,1
20,2958,230,5,6,4
84,1070,80,2,2,1
72,2200,50,2,2,0
95,1620,56,2,1,1
134,1364,50,1,1,1
15,1300,65,2,1,1
99,1250,55,2,1,1
60,1390,71,2,2,1
12,3210,62,2,1,1
20,2310,130,3,3,2
99,1780,70,2,1,1
26,2400,150,0,2,0
7,11997,179,4,2,3
102,1200,20,0,1,1
134,1770,50,1,2,0
12,3602,70,2,1,1
45,1664,42,1,1,0
83,1960,70,2,1,1
47,2200,55,1,0,0
134,2350,80,2,1,1
26,1000,31,0,1,0
124,2065,78,2,2,0
39,2200,300,3,4,0
83,1610,70,2,1,1
85,1200,60,2,1,1
26,22100,538,0,0,0
90,1657,83,2,2,1
59,6800,110,2,3,1
15,2085,54,2,1,1
44,1570,47,1,1,2
15,1665,60,2,1,1
83,2200,65,2,2,1
123,1910,68,2,2,1
59,16685,120,3,4,1
44,998,23,0,1,1
7,9543,126,3,2,2
124,2190,50,1,2,1
26,2265,28,0,1,0
134,1914,60,2,1,1
20,1010,50,2,1,1
67,2640,87,2,1,1
60,2310,70,2,2,1
72,3170,65,2,1,1
124,3106,80,2,1,1
93,1439,49,2,1,1
20,1450,120,2,1,1
26,2146,72,2,2,0
119,3792,282,3,3,2
92,1850,150,2,1,1
60,1890,53,3,2,1
23,2955,62,2,2,1
122,1245,90,3,1,1
83,1952,57,3,2,1
7,1684,32,0,1,1
65,4364,84,2,2,1
132,1500,60,1,0,1
102,1455,22,0,1,1
12,27846,241,0,2,3
62,1270,22,0,0,1
7,14150,113,0,0,3
42,3955,67,2,1,1
104,2086,49,1,1,1
42,4707,66,2,2,1
59,3550,38,1,1,1
44,1224,25,0,1,1
52,1728,37,1,1,1
40,1620,60,2,2,1
124,2353,60,2,1,1
59,4577,85,2,2,1
3,1800,56,2,1,1
110,1120,45,2,1,1
2,2570,91,2,2,1
124,1804,54,2,1,0
83,1497,85,2,1,1
62,1050,70,2,1,1
125,1700,55,2,1,1
124,2700,65,2,1,1
15,1770,60,2,2,1
124,2870,65,2,2,1
30,4600,75,2,2,1
12,4086,75,2,1,1
18,1650,50,2,1,1
102,3500,65,2,1,1
26,3374,138,0,2,0
52,5816,108,3,3,1
90,1665,55,2,1,1
89,2150,68,2,2,1
52,2985,80,2,1,0
30,2316,40,1,1,0
20,1150,47,2,1,1
83,2230,93,2,1,1
42,4419,73,1,1,1
122,1735,65,2,2,1
83,1583,100,2,2,0
136,1900,67,2,2,1
124,2500,75,2,2,0
26,1040,27,0,1,0
20,4000,480,4,5,5
92,1600,63,2,1,1
30,3000,46,1,0,1
125,1235,60,2,1,1
102,2900,72,2,2,1
89,1180,64,2,1,1
79,2790,130,3,2,1
7,13763,130,0,2,4
7,2100,25,0,1,1
59,13393,116,2,2,1
20,780,72,2,1,1
124,2200,60,3,2,1
102,2930,80,2,2,1
26,1250,31,1,1,0
42,2110,42,1,1,0
7,2632,45,0,1,1
7,8000,380,5,4,4
60,1244,55,2,1,1
124,3822,46,0,1,2
76,960,60,2,1,0
15,2000,100,2,2,1
117,1400,42,0,1,1
122,2010,70,2,2,1
40,1770,63,2,2,1
123,2100,78,2,2,1
83,2328,57,2,2,1
92,1630,80,2,2,0
83,2400,55,2,1,1
20,1611,57,3,1,1
43,2400,80,2,3,1
26,5622,116,0,2,0
7,125000,210,0,2,19
7,3410,42,0,0,1
12,4470,84,2,1,1
60,1526,45,2,1,1
124,3130,106,3,2,2
60,1315,70,2,2,1
62,2565,76,2,2,1
106,2191,81,2,2,0
20,1550,70,2,1,1
83,2360,80,2,2,1
89,1210,48,1,1,1
20,1050,46,2,1,1
102,1450,45,1,1,1
93,945,50,2,1,1
106,2050,45,2,1,1
60,1857,47,2,1,1
15,2071,48,2,1,1
98,1800,50,1,1,0
92,865,90,2,1,0
12,3486,62,1,1,1
79,2148,44,1,2,1
80,1750,105,3,2,1
12,4069,90,2,1,1
30,7680,166,0,0,2
91,4630,378,0,4,0
30,5800,160,4,3,1
3,2090,64,2,2,1
30,2805,45,2,2,1
30,2800,46,1,0,1
124,2108,61,2,1,1
60,1030,50,2,1,2
83,1675,56,1,1,2
30,2997,83,2,2,0
136,1588,70,2,1,1
26,1220,30,0,1,0
67,2760,92,3,2,2
30,2760,69,2,2,0
124,1597,35,1,1,0
43,2907,92,3,3,1
124,3007,80,2,2,1
20,1150,65,2,1,1
122,1180,32,0,0,1
102,1650,25,0,1,1
124,5050,150,4,3,2
136,1750,65,2,1,1
125,1055,60,2,1,0
83,1715,70,2,2,1
93,1322,80,2,2,1
30,3840,75,2,2,1
106,2400,75,2,1,2
70,5290,87,2,1,1
57,1250,60,2,1,1
60,1447,65,2,1,1
99,1470,102,2,2,1
55,3900,82,2,1,1
134,2630,78,2,1,1
60,1290,60,2,1,1
7,1400,22,1,1,0
20,2303,98,2,1,1
30,4300,132,3,3,0
30,1739,40,1,1,0
30,3480,72,2,2,0
89,1101,21,0,1,1
30,3900,80,2,2,1
30,2461,45,1,1,0
112,3900,165,0,2,0
83,1561,46,1,1,1
124,2730,75,2,1,0
99,1320,50,2,1,1
44,1849,68,2,1,1
60,1600,80,2,1,1
26,1740,36,0,1,0
60,1420,57,2,1,1
34,2250,65,2,1,2
38,1475,50,2,1,1
12,5100,91,1,2,1
17,11692,3335,0,0,0
3,1450,50,2,0,1
20,900,43,2,1,1
48,4100,140,4,2,3
95,1900,42,2,1,1
125,2223,52,2,2,1
7,4600,90,3,3,1
124,2840,80,3,3,1
112,3800,75,0,1,1
83,2560,46,1,1,1
83,2046,62,2,1,0
40,1701,60,2,2,1
124,1561,36,1,1,0
12,9100,54,0,1,1
26,1935,55,2,2,0
122,1650,63,2,2,1
123,1700,61,2,1,1
4,5200,88,2,3,2
30,5496,51,2,2,1
79,1730,67,2,1,0
124,3106,130,3,1,0
20,1402,50,2,1,1
99,1430,64,2,2,1
136,2800,120,3,4,1
26,1786,55,0,1,0
122,1100,50,2,1,1
30,1450,25,0,1,1
82,1710,50,1,1,1
136,1405,44,2,1,1
122,1750,63,2,2,1
102,1385,30,0,0,1
80,1370,60,2,1,2
99,2129,45,2,1,1
26,1800,59,0,0,0
134,2085,81,2,2,1
39,1620,80,2,2,1
30,10174,90,2,2,2
70,13800,187,3,2,2
60,1220,61,2,1,1
62,2200,50,2,1,1
26,1440,60,0,1,0
59,4800,56,2,2,1
124,3230,85,2,2,1
119,75000,2500,0,0,0
20,1220,45,2,1,1
89,2000,55,2,2,1
97,1003,48,2,1,1
20,1657,55,2,1,1
60,1950,90,2,1,1
89,2311,220,3,2,3
98,5000,420,0,2,0
99,1861,60,2,1,1
124,3030,65,2,1,1
21,1445,80,3,1,2
102,1375,30,0,1,1
40,1454,56,2,2,1
47,2060,44,1,2,0
30,4920,146,3,2,0
7,9300,140,4,3,2
42,4341,139,3,3,1
92,1020,44,2,1,1
110,1000,48,2,1,1
