preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 4.180 /mês,R$ 1.112,"Estrada do Bananal, Freguesia- Jacarepaguá",162 m²,2,0,2
R$ 1.800 /mês,0,"Rua Divisória, Bento Ribeiro",85 m²,2,1,3
R$ 5.200 /mês,R$ 1.175,"Avenida Rainha Elizabeth da Bélgica, Ipanema",115 m²,3,1,3
R$ 2.500 /mês,0,"Rua Aylton Vasconcelos, Jardim Guanabara",130 m²,3,2,1
R$ 2.600 /mês,R$ 650,"Rua Gustavo Corção, Recreio Dos Bandeirantes",103 m²,3,2,2
R$ 2.200 /mês,R$ 394,"Avenida Geremário Dantas, Pechincha",53 m²,2,1,2
R$ 2.900 /mês,R$ 750,"Rua Pinto Alpoim, Jardim Guanabara",130 m²,3,2,4
R$ 1.900 /mês,R$ 670,"Avenida Nossa Senhora de Copacabana, Copacabana",47 m²,1,0,1
R$ 80.000 /mês,R$ 12.000,"Barra da Tijuca, Rio de Janeiro",1000 m²,0,0,1
R$ 12.000 /mês,R$ 1.766,"Rua Paulo César de Andrade, Laranjeiras",300 m²,4,2,3
R$ 2.300 /mês,R$ 800,"Rua Gaspar Magalhães, Jardim Guanabara",140 m²,3,2,3
R$ 1.300 /mês,R$ 954,"Rua Aquidabã, Méier",86 m²,2,1,3
R$ 1.100 /mês,R$ 685,"Rua Washington Luís, Centro",65 m²,2,0,2
R$ 2.500 /mês,R$ 526,"Rua A, Freguesia",72 m²,2,1,2
R$ 1.700 /mês,R$ 778,"Rua Aguiar, Tijuca",71 m²,2,1,1
R$ 2.000 /mês,R$ 1.530,"Rua Marques, Humaitá",80 m²,1,1,2
R$ 3.700 /mês,R$ 1.300,"Rua Clarice Índio do Brasil, Botafogo",94 m²,2,1,2
R$ 2.000 /mês,R$ 824,"Rua Doutor Satamini, Tijuca",80 m²,2,1,2
R$ 2.300 /mês,R$ 775,"Avenida Tim Maia, Recreio Dos Bandeirantes",66 m²,2,1,2
R$ 2.900 /mês,R$ 872,"Avenida Nossa Senhora de Copacabana, Copacabana",70 m²,2,0,2
R$ 1.500 /mês,R$ 992,"Avenida das Américas, Barra da Tijuca",35 m²,0,1,1
R$ 300 /mês,R$ 450,"Avenida Treze de Maio, Centro",20 m²,0,0,1
R$ 1.350 /mês,R$ 545,"Rua Caçu, Taquara",62 m²,2,1,2
R$ 1.200 /mês,R$ 530,"Rua Santo Amaro, Glória",45 m²,1,0,1
R$ 2.000 /mês,R$ 330,"Rua Grajaú, Grajaú",80 m²,3,0,1
R$ 720 /mês,R$ 250,"Travessa Paulino de Almeida, Campo Grande",54 m²,2,1,1
R$ 1.700 /mês,R$ 845,"Rua Torres Homem, Vila Isabel",73 m²,3,1,2
R$ 2.500 /mês,R$ 840,"Rua Siqueira Campos, Copacabana",60 m²,2,1,1
R$ 1.300 /mês,R$ 250,"Estrada da Boiuna, Taquara",120 m²,2,1,1
R$ 2.500 /mês,R$ 675,"Avenida São Sebastião, Urca",64 m²,2,0,2
R$ 1.900 /mês,R$ 950,"Rua Aroazes, Barra da Tijuca",80 m²,2,1,1
R$ 2.000 /mês,R$ 590,"Rua Daniel Barreto dos Santos, Vargem Pequena",108 m²,2,1,2
R$ 12.500 /mês,R$ 2.567,"Rua Almirante Guilhem, Leblon",140 m²,3,2,5
