preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 650 /mês,R$ 435,"Rua A, Taquara",45 m²,1,1,1
R$ 2.000 /mês,R$ 120,"Rua Ribeiro Guimarães, Tijuca",60 m²,2,0,1
R$ 2.950 /mês,R$ 899,"Avenida Nossa Senhora de Copacabana, Copacabana",132 m²,3,1,1
R$ 1.450 /mês,R$ 692,"Rua Barata Ribeiro, Copacabana",60 m²,0,0,1
R$ 1.200 /mês,R$ 330,"Rua Tirol, Freguesia",60 m²,2,0,1
R$ 637 /mês,R$ 381,"Rua Josué de Barros, Campo Grande",60 m²,2,1,1
R$ 2.150 /mês,R$ 442,"Rua Pedro de Carvalho, Méier",82 m²,3,1,2
R$ 1.300 /mês,R$ 548,"Rua Almirante Tamandaré, Flamengo",33 m²,1,0,1
R$ 300 /mês,R$ 368,"Avenida Graça Aranha, Centro",30 m²,0,0,1
R$ 9.000 /mês,0,"Rua Igacaba, Cordovil",1000 m²,0,0,0
R$ 150 /mês,R$ 1.349,"Avenida Treze de Maio, Centro",72 m²,0,0,0
R$ 64.000 /mês,R$ 16.000,"Ipanema, Rio de Janeiro",400 m²,0,0,2
R$ 15.000 /mês,R$ 1.400,"Avenida Maestro Paulo Silva, Jardim Carioca",201 m²,0,0,2
R$ 1.850 /mês,R$ 372,"Rua Sacramento Blacke, Campo Grande",200 m²,2,2,2
R$ 800 /mês,R$ 336,"Rua Washington Luís, Centro",36 m²,0,0,1
R$ 500 /mês,R$ 598,"Avenida Rio Branco, Centro",32 m²,0,1,1
R$ 2.500 /mês,R$ 460,"Rua Aristides Espinola, Leblon",30 m²,1,0,1
R$ 1.380 /mês,R$ 170,"Avenida Dom Hélder Câmara, Quintino Bocaiúva",82 m²,2,0,2
R$ 2.000 /mês,R$ 780,"Rua Paulo Silva Araújo, Méier",70 m²,2,1,2
R$ 200 /mês,R$ 534,"Rua Sacadura Cabral, Saúde",30 m²,0,0,1
R$ 1.200 /mês,R$ 450,"Estrada das Capoeiras, Campo Grande",68 m²,3,1,1
R$ 560 /mês,R$ 340,"Rua A, Campo Grande",47 m²,2,1,1
R$ 900 /mês,R$ 90,"Rua Elias Chaves, Bento Ribeiro",65 m²,2,1,1
R$ 1.100 /mês,R$ 175,"Rua Aguiar, Tijuca",30 m²,0,0,1
R$ 600 /mês,R$ 270,"Santíssimo, Rio de Janeiro",56 m²,2,0,1
R$ 1.600 /mês,R$ 600,"Alameda A, Recreio Dos Bandeirantes",47 m²,1,1,1
R$ 1.800 /mês,R$ 437,"Rua Silveira Martins, Flamengo",35 m²,1,0,1
R$ 990 /mês,R$ 260,"Estrada do Mendanha, Campo Grande",41 m²,2,1,1
R$ 1.500 /mês,R$ 750,"Avenida João Cabral de Mello Neto, Barra da Tijuca",35 m²,0,1,1
R$ 900 /mês,R$ 267,"Estrada Campo da Areia, Pechincha",40 m²,2,1,1
R$ 600 /mês,R$ 465,"Centro, Rio de Janeiro",34 m²,0,0,1
R$ 1.200 /mês,R$ 586,"Rua A, Engenho Novo",76 m²,2,1,1
R$ 500 /mês,R$ 665,"Rua Equador, Centro",28 m²,1,1,1
R$ 850 /mês,R$ 160,"Rua Cadete Polônia, Sampaio",60 m²,2,0,1
R$ 700 /mês,R$ 571,"Rua Santa Alexandrina, Rio Comprido",59 m²,2,0,2
R$ 8.000 /mês,R$ 3.700,"Rua do Ouvidor, Centro",311 m²,0,0,1
R$ 2.100 /mês,R$ 118,"Rua Coração de Maria, Méier",110 m²,3,0,1
R$ 2.200 /mês,R$ 1.408,"Méier, Rio de Janeiro",155 m²,3,1,1
R$ 900 /mês,0,"Estrada do Mendanha, Campo Grande",50 m²,2,1,1
R$ 1.338 /mês,R$ 500,"Estrada dos Bandeirantes, Vargem Pequena",70 m²,3,1,1
R$ 750 /mês,R$ 480,"Avenida Geremário Dantas, Pechincha",50 m²,2,0,1
R$ 2.500 /mês,R$ 525,"Rua Faro, Jardim Botânico",50 m²,2,0,1
R$ 1.200 /mês,R$ 20,"Boulevard Vinte e Oito de Setembro, Vila Isabel",30 m²,0,0,1
R$ 1.000 /mês,0,"Taquara, Rio de Janeiro",28 m²,0,0,1
R$ 4.400 /mês,R$ 1.360,"Rua Paula Freitas, Copacabana",110 m²,2,1,2
R$ 800 /mês,R$ 292,"Avenida Geremário Dantas, Pechincha",21 m²,0,1,1
R$ 784 /mês,R$ 450,"Rua Evaristo da Veiga, Centro",35 m²,1,0,1
R$ 3.500 /mês,R$ 999,"Rua Silva Ramos, Tijuca",174 m²,1,0,6
R$ 600 /mês,R$ 990,"Rua Uruguaiana, Centro",44 m²,0,1,1
R$ 950 /mês,R$ 747,"Rua Edgard Werneck, Freguesia",55 m²,2,1,1
R$ 650 /mês,R$ 379,"Rua Josué de Barros, Campo Grande",48 m²,2,1,1
R$ 20.000 /mês,R$ 2.300,"Avenida Atlântica, Copacabana",200 m²,0,0,2
R$ 1.200 /mês,R$ 755,"Estrada dos Bandeirantes, Jacarepaguá",43 m²,1,1,1
R$ 3.200 /mês,R$ 1.330,"Rua Marquês de Abrantes, Flamengo",107 m²,3,1,3
R$ 1.300 /mês,R$ 315,"Avenida Mem de Sá, Centro",49 m²,1,0,1
R$ 850 /mês,R$ 807,"Rua Maranhão, Méier",70 m²,2,1,2
R$ 950 /mês,R$ 250,"Caminho do Veloso, Campo Grande",43 m²,2,1,1
R$ 600 /mês,R$ 400,"Rua Moacir de Almeida, Tomás Coelho",55 m²,2,1,1
R$ 1.200 /mês,R$ 490,"Rua Gonzaga Bastos, Vila Isabel",59 m²,2,0,1
R$ 900 /mês,R$ 553,"Rua das Laranjeiras, Laranjeiras",24 m²,0,0,1
R$ 3.300 /mês,R$ 1.150,"Rua Almirante Guilhem, Leblon",59 m²,2,0,2
R$ 1.365 /mês,R$ 644,"Rua Barão de Mesquita, Andaraí",70 m²,2,1,2
R$ 1.200 /mês,R$ 565,"Rua Barão do Bom Retiro, Engenho Novo",54 m²,1,1,1
R$ 1.800 /mês,R$ 698,"Rua Barão de Oliveira Castro, Jardim Botânico",47 m²,1,0,1
R$ 1.200 /mês,R$ 366,"Travessa Barros Leite, Quintino Bocaiúva",45 m²,2,0,1
R$ 1.600 /mês,R$ 350,"Avenida Marechal Rondon, Vila Isabel",95 m²,3,1,1
R$ 880 /mês,R$ 450,"Rua A, Pechincha",45 m²,2,2,1
R$ 1.122 /mês,R$ 430,"Rua Ana Cristina Cesar, Freguesia",50 m²,2,1,1
R$ 1.600 /mês,R$ 80,"Rua Bom Pastor, Tijuca",55 m²,1,0,1
R$ 1.500 /mês,R$ 773,"Travessa Pau-Ferro, Pechincha",80 m²,3,1,1
R$ 1.000 /mês,R$ 250,"Rua Hannibal Porto, Irajá",75 m²,2,2,1
R$ 800 /mês,R$ 399,"Avenida Presidente Vargas, Centro",28 m²,0,0,1
R$ 1.400 /mês,R$ 150,"Rua Sisley, Cachambi",80 m²,3,1,1
R$ 1.000 /mês,R$ 365,"Rua Cardoso de Morais, Bonsucesso",58 m²,2,0,1
R$ 750 /mês,R$ 650,"Travessa Automóvel Clube, Engenho Da Rainha",52 m²,2,2,1
R$ 1.100 /mês,R$ 479,"Avenida Presidente Vargas, Cidade Nova",60 m²,2,0,1
R$ 850 /mês,R$ 481,"Estrada Intendente Magalhães, Campinho",44 m²,2,1,1
R$ 1.000 /mês,R$ 385,"Estrada Marechal Miguel Salazar Mendes de Morais, Taquara",60 m²,3,1,1
R$ 3.300 /mês,R$ 1.117,"Estrada da Barra da Tijuca, Barra da Tijuca",76 m²,2,1,2
R$ 2.200 /mês,R$ 250,"Rua A, Irajá",100 m²,2,1,2
R$ 1.130 /mês,R$ 560,"Rua Comendador Pinto, Campinho",47 m²,2,1,1
R$ 2.300 /mês,R$ 800,"Rua Visconde de Santa Isabel, Grajaú",90 m²,3,1,2
R$ 1.400 /mês,R$ 530,"Rua Santo Amaro, Glória",45 m²,1,0,1
R$ 550 /mês,R$ 343,"Estrada Professor Daltro Santos, Campo Grande",45 m²,2,1,1
R$ 1.400 /mês,R$ 595,"Rua Grajaú, Grajaú",81 m²,3,1,2
R$ 510 /mês,R$ 300,"Estrada João Melo, Campo Grande",47 m²,2,1,1
R$ 7.300 /mês,R$ 2.910,"Avenida Atlântica, Copacabana",276 m²,4,2,4
R$ 1.700 /mês,R$ 600,"Rua Radialista Waldir Amaral, Maracanã",64 m²,2,0,1
R$ 1.100 /mês,R$ 470,"Rua Venceslau, Méier",70 m²,3,1,1
R$ 350 /mês,R$ 841,"Avenida Almirante Barroso, Centro",60 m²,0,0,1
R$ 800 /mês,R$ 690,"Rua A, Méier",58 m²,2,1,2
R$ 750 /mês,R$ 300,"Rua Mirataia, Pechincha",50 m²,1,1,1
R$ 1.300 /mês,R$ 393,"Rua da Quitanda, Centro",31 m²,0,0,1
R$ 1.105 /mês,R$ 293,"Rua Americana, Cachambi",60 m²,2,0,1
R$ 2.150 /mês,R$ 460,"Rua Ernestina, Méier",100 m²,3,2,2
R$ 1.100 /mês,R$ 630,"Rua Almirante Calheiros da Graça, Méier",62 m²,3,2,1
R$ 1.500 /mês,R$ 630,"Avenida Princesa Isabel, Leme",36 m²,1,1,1
R$ 1.700 /mês,R$ 450,"Praça São Salvador, Flamengo",36 m²,1,0,1
R$ 1.000 /mês,R$ 410,"Recreio Dos Bandeirantes, Rio de Janeiro",26 m²,1,1,1
R$ 500 /mês,R$ 765,"Avenida Treze de Maio, Centro",54 m²,0,0,2
R$ 1.200 /mês,R$ 1,"Rua Virgolino Alves Cardia, Campo Grande",130 m²,0,1,2
R$ 1.220 /mês,R$ 380,"Rua Aiera, Irajá",70 m²,2,0,2
R$ 790 /mês,R$ 255,"Estrada do Mendanha, Campo Grande",43 m²,2,1,1
R$ 1.800 /mês,R$ 764,"Rua Conde de Bonfim, Tijuca",69 m²,2,1,2
R$ 400 /mês,R$ 400,"Rua das Marrecas, Centro",36 m²,0,0,1
R$ 1.700 /mês,R$ 847,"Rua Soares da Costa, Tijuca",62 m²,1,1,1
R$ 560 /mês,R$ 350,"Estrada João Melo, Campo Grande",52 m²,2,1,1
R$ 900 /mês,R$ 450,"Rua Leandro Martins, Centro",48 m²,1,0,1
R$ 10.000 /mês,R$ 2.800,"Avenida Atlântica, Copacabana",268 m²,3,1,4
R$ 600 /mês,R$ 330,"Rua Campina Grande, Campo Grande",45 m²,2,1,1
R$ 1.011 /mês,R$ 432,"Rua Heráclito Graça, Méier",82 m²,3,1,1
R$ 1.550 /mês,R$ 893,"Rua Barão de Itapagipe, Tijuca",58 m²,2,1,2
R$ 1.040 /mês,R$ 320,"Rua A, Pechincha",40 m²,1,1,1
R$ 5.250 /mês,R$ 825,"Rua Machado de Assis, Flamengo",74 m²,2,1,2
R$ 2.900 /mês,R$ 1.399,"Rua Marquês de Abrantes, Flamengo",130 m²,3,1,4
R$ 2.000 /mês,R$ 615,"Rua do Matoso, Tijuca",86 m²,3,1,3
R$ 1.200 /mês,R$ 764,"Rua Euclides Faria, Ramos",60 m²,2,1,2
R$ 1.200 /mês,0,"Rua Mário Carpenter, Abolição",90 m²,2,0,1
R$ 2.000 /mês,R$ 550,"Rua Pinheiro Guimarães, Botafogo",85 m²,2,0,1
R$ 900 /mês,R$ 580,"Rua Conde Lages, Centro",33 m²,0,1,1
R$ 1.435 /mês,R$ 600,"Rua Leopoldo, Andaraí",69 m²,2,1,1
R$ 850 /mês,R$ 472,"Rua Getúlio, Méier",62 m²,2,1,1
R$ 800 /mês,R$ 350,"Rua Paulo Moreira da Silva, Pechincha",50 m²,2,1,1
R$ 1.275 /mês,R$ 330,"Rua São Gabriel, Cachambi",50 m²,2,0,1
R$ 950 /mês,R$ 560,"Rua Conselheiro Agostinho, Todos os Santos",50 m²,2,1,1
R$ 4.905 /mês,R$ 125,"Rua Evaristo de Morais, Vila Valqueire",240 m²,2,5,4
R$ 1.521 /mês,R$ 555,"Rua Barão do Bom Retiro, Engenho Novo",50 m²,2,1,1
R$ 930 /mês,R$ 260,"Estrada dos Caboclos, Campo Grande",51 m²,2,1,1
R$ 1.200 /mês,R$ 680,"Rua Getúlio, Méier",74 m²,3,1,2
R$ 1.200 /mês,R$ 633,"Avenida Nossa Senhora de Copacabana, Copacabana",31 m²,2,0,1
R$ 10.000 /mês,R$ 6.000,"Avenida Presidente Vargas, Centro",396 m²,0,0,4
R$ 3.000 /mês,R$ 70,"Avenida Geremário Dantas, Taquara",250 m²,3,5,3
R$ 6.000 /mês,R$ 2.000,"Praia do Flamengo, Flamengo",200 m²,4,1,3
R$ 1.100 /mês,R$ 568,"Rua Senador Nabuco, Vila Isabel",55 m²,1,1,1
R$ 2.000 /mês,R$ 1.147,"Rua Santa Clara, Copacabana",63 m²,2,0,1
R$ 1.070 /mês,R$ 580,"Rua A, Pechincha",54 m²,2,1,1
R$ 1.250 /mês,R$ 103,"Sepetiba, Rio de Janeiro",42 m²,0,1,1
R$ 1.020 /mês,R$ 500,"Estrada dos Bandeirantes, Vargem Pequena",63 m²,2,1,1
R$ 3.600 /mês,0,"Caminho do Veloso, Campo Grande",128 m²,0,0,2
R$ 2.800 /mês,R$ 602,"Rua México, Centro",66 m²,0,0,1
R$ 2.061 /mês,R$ 1.250,"Rua Alceu Amoroso Lima, Barra da Tijuca",65 m²,1,1,1
R$ 680 /mês,R$ 200,"Estrada do Tingui, Campo Grande",48 m²,2,1,1
R$ 1.200 /mês,R$ 435,"Rua Joaquim Meier, Méier",66 m²,2,0,1
R$ 1.200 /mês,R$ 560,"Rua Domingos Ferreira, Copacabana",35 m²,1,0,1
R$ 1.200 /mês,R$ 350,"Rua Senador Rui Carneiro, Recreio Dos Bandeirantes",31 m²,0,1,0
R$ 3.000 /mês,R$ 750,"Avenida das Américas, Barra da Tijuca",32 m²,0,1,0
R$ 11.000 /mês,R$ 2.921,"Rua do Rosário, Centro",290 m²,0,0,2
R$ 28.000 /mês,R$ 7.000,"Avenida Delfim Moreira, Leblon",260 m²,3,2,3
R$ 850 /mês,R$ 553,"Avenida Ernani Cardoso, Cascadura",72 m²,2,1,1
R$ 961 /mês,R$ 790,"Avenida Geremário Dantas, Pechincha",60 m²,2,2,2
R$ 800 /mês,R$ 345,"Rua do Resende, Centro",30 m²,1,0,1
R$ 500 /mês,R$ 250,"Avenida Pastor Martin Luther King Jr, Tomás Coelho",45 m²,2,1,1
R$ 1.450 /mês,R$ 850,"Rua Piragibe Frota Aguiar, Copacabana",50 m²,1,0,1
R$ 1.100 /mês,R$ 200,"Rua São Brás, Todos os Santos",70 m²,2,0,2
R$ 1.100 /mês,R$ 368,"Praça Floriano, Centro",36 m²,0,0,1
R$ 1.250 /mês,R$ 360,"Rua Padre Ildefonso Penalba, Méier",102 m²,3,0,2
R$ 1.200 /mês,R$ 150,"Rua Carolina Machado, Madureira",47 m²,2,0,1
R$ 1.400 /mês,R$ 1.550,"Avenida Presidente Vargas, Centro",65 m²,0,1,0
R$ 1.500 /mês,R$ 1.000,"Rua Geminiano Gois, Freguesia",88 m²,2,1,2
R$ 700 /mês,R$ 450,"Taquara, Rio de Janeiro",19 m²,0,1,1
R$ 950 /mês,R$ 350,"Rua São Brás, Todos os Santos",60 m²,2,0,2
R$ 840 /mês,R$ 500,"Avenida Almirante Júlio de Sá Bierrenbach, Jacarepaguá",30 m²,0,0,1
R$ 1.080 /mês,R$ 150,"Rua Clapp Filho, Cachambi",96 m²,2,0,1
R$ 1.500 /mês,R$ 485,"Avenida Nossa Senhora de Copacabana, Copacabana",45 m²,1,0,1
R$ 1.250 /mês,R$ 250,"Rua Borges Monteiro, Del Castilho",70 m²,2,0,1
R$ 1.700 /mês,R$ 311,"Rua Serafim Valandro, Botafogo",34 m²,1,0,1
R$ 1.600 /mês,R$ 703,"Rua Lins de Vasconcelos, Méier",73 m²,2,1,2
R$ 3.000 /mês,R$ 810,"Rua Figueiredo Magalhães, Copacabana",68 m²,2,1,1
R$ 4.500 /mês,R$ 1.706,"Rua Álvaro Ramos, Botafogo",110 m²,3,2,3
R$ 1.300 /mês,R$ 440,"Rua São Francisco Xavier, Tijuca",50 m²,1,0,2
R$ 2.000 /mês,R$ 1.800,"Avenida Armando Lombardi, Barra da Tijuca",120 m²,0,1,1
R$ 1.300 /mês,R$ 418,"Rua Uruguai, Tijuca",44 m²,1,0,1
R$ 1.300 /mês,R$ 95,"Rua Miguel Fernandes, Cachambi",90 m²,2,0,1
R$ 500 /mês,R$ 471,"Rua Dom Gerardo, Centro",33 m²,0,0,1
R$ 1.001 /mês,R$ 511,"Rua Isolina, Méier",80 m²,2,1,1
R$ 1.130 /mês,R$ 380,"Praça A, Engenho Da Rainha",45 m²,2,0,1
R$ 2.000 /mês,R$ 800,"Avenida Geremário Dantas, Pechincha",67 m²,2,1,2
R$ 1.100 /mês,R$ 456,"Rua Alcântara Machado, Centro",53 m²,1,0,1
R$ 1.000 /mês,R$ 38,"Estrada Adhemar Bebiano, Inhaúma",60 m²,2,1,1
R$ 1.530 /mês,R$ 600,"Rua da Relação, Centro",50 m²,1,0,1
R$ 1.400 /mês,R$ 462,"Rua Embaixador Ramon Carcano, Tijuca",60 m²,1,1,1
R$ 1.100 /mês,R$ 330,"Rua Barão do Bom Retiro, Engenho Novo",78 m²,3,1,1
R$ 175.428 /mês,0,"Pavuna, Rio de Janeiro",7974 m²,0,10,10
R$ 850 /mês,R$ 300,"Rua General Ivo Soares, Taquara",60 m²,2,1,1
R$ 750 /mês,R$ 463,"Rua da Conceição, Centro",34 m²,1,0,1
R$ 22.000 /mês,R$ 3.500,"Leblon, Rio de Janeiro",330 m²,4,2,5
R$ 700 /mês,R$ 73,"Rua João Bruno Lobo, Curicica",24 m²,0,0,0
R$ 1.800 /mês,R$ 596,"Centro, Rio de Janeiro",48 m²,0,0,1
R$ 1.600 /mês,R$ 800,"Rua Pedro de Carvalho, Méier",85 m²,2,1,1
R$ 800 /mês,R$ 350,"Rua Inácio Dias, Freguesia- Jacarepaguá",52 m²,2,1,1
R$ 935 /mês,R$ 530,"Rua Heráclito Graça, Méier",80 m²,2,1,1
R$ 4.360 /mês,R$ 200,"Avenida Princesa Isabel, Leme",93 m²,2,2,1
R$ 1.900 /mês,R$ 1.015,"Avenida Nossa Senhora de Copacabana, Copacabana",49 m²,0,1,1
R$ 1.300 /mês,R$ 13,"Rua João Pizarro, Olaria",90 m²,2,0,1
R$ 1.100 /mês,R$ 350,"Rua Senador Rui Carneiro, Recreio Dos Bandeirantes",28 m²,0,1,0
R$ 4.000 /mês,R$ 342,"Rua Ambaitinga, Praia da Bandeira",158 m²,3,2,5
R$ 2.040 /mês,R$ 1.099,"Rua Conde de Bonfim, Tijuca",95 m²,2,2,2
R$ 2.500 /mês,R$ 1.286,"Avenida Almirante Júlio de Sá Bierrenbach, Jacarepaguá",82 m²,0,2,2
R$ 950 /mês,R$ 508,"Estrada do Tindiba, Pechincha",44 m²,1,1,1
R$ 1.600 /mês,R$ 480,"Estrada da Água Grande, Irajá",66 m²,3,1,2
R$ 990 /mês,R$ 753,"Avenida Geremário Dantas, Pechincha",60 m²,2,1,2
R$ 3.850 /mês,R$ 280,"Rua Alfredo Pujol, Grajaú",210 m²,4,3,3
R$ 1.150 /mês,R$ 790,"Rua Barão de Mesquita, Andaraí",60 m²,1,1,2
R$ 3.300 /mês,R$ 1.350,"Rua General Barbosa Lima, Copacabana",82 m²,2,1,1
R$ 25.000 /mês,R$ 4.700,"Leblon, Rio de Janeiro",669 m²,4,4,4
R$ 40.000 /mês,R$ 17.600,"Rua Lauro Muller, Botafogo",457 m²,0,0,2
R$ 1.625 /mês,R$ 765,"Rua Visconde de Abaeté, Vila Isabel",70 m²,2,1,2
R$ 1.250 /mês,R$ 355,"Estrada dos Três Rios, Freguesia- Jacarepaguá",57 m²,2,0,1
R$ 3.600 /mês,R$ 150,"Rua Senador Jaguaribe, Engenho Novo",200 m²,5,2,6
R$ 1.603 /mês,R$ 340,"Rua dos Inválidos, Centro",47 m²,1,0,1
R$ 600 /mês,R$ 462,"Rua da Conceição, Centro",32 m²,0,0,1
R$ 3.580 /mês,R$ 1.100,"Rua Muniz Barreto, Botafogo",98 m²,2,1,2
R$ 1.500 /mês,R$ 380,"Avenida Glaucio Gil, Recreio Dos Bandeirantes",40 m²,0,0,1
R$ 1.350 /mês,R$ 850,"Rua Geminiano Gois, Freguesia",69 m²,2,1,2
R$ 500 /mês,R$ 637,"Rua Araújo Porto Alegre, Centro",27 m²,0,0,1
R$ 3.200 /mês,R$ 125,"Rua Dias da Cruz, Engenho De Dentro",200 m²,1,1,5
R$ 1.200 /mês,R$ 270,"Rua A, Pilares",57 m²,2,8,1
R$ 1.150 /mês,R$ 250,"Rua Americana, Cachambi",80 m²,2,0,1
R$ 760 /mês,R$ 250,"Estrada Cabuçu de Baixo, Guaratiba",43 m²,2,1,1
R$ 1.600 /mês,R$ 711,"Rua Comandante Rúbens Silva, Freguesia",75 m²,2,1,1
R$ 2.125 /mês,R$ 800,"Avenida Paulo de Frontin, Estacio",80 m²,2,0,2
R$ 1.400 /mês,R$ 120,"Rua Curuzu, São Cristóvão",50 m²,2,0,1
R$ 3.500 /mês,R$ 548,"Rua Maria Quitéria, Ipanema",50 m²,1,0,1
R$ 1.350 /mês,0,"Estrada do Portinho, Irajá",75 m²,2,0,1
R$ 1.210 /mês,R$ 700,"Rua Fábio Luz, Méier",52 m²,1,1,2
R$ 1.275 /mês,R$ 200,"Rua Sanatório, Cascadura",95 m²,3,1,1
R$ 150.000 /mês,0,"Barra da Tijuca, Rio de Janeiro",1500 m²,1,80,1
R$ 800 /mês,R$ 1.167,"Centro, Rio de Janeiro",42 m²,0,0,1
R$ 1.105 /mês,R$ 400,"Rua de Santana, Centro",50 m²,1,0,1
R$ 2.403 /mês,R$ 150,"Rua Nazario, Vila Isabel",160 m²,4,1,3
R$ 350 /mês,R$ 657,"Avenida Erasmo Braga, Centro",37 m²,0,0,0
R$ 550 /mês,R$ 330,"Centro, Rio de Janeiro",26 m²,0,0,1
R$ 2.800 /mês,R$ 550,"Rua Venina, Penha",90 m²,2,2,1
R$ 500 /mês,R$ 280,"Avenida Passos, Centro",24 m²,0,0,1
R$ 1.100 /mês,R$ 241,"Travessa do Paço, Centro",34 m²,0,0,1
R$ 1.330 /mês,R$ 400,"Rua Campos da Paz, Rio Comprido",60 m²,2,0,1
R$ 1.884 /mês,R$ 7,"Rua Laura de Araújo, Cidade Nova",70 m²,2,0,1
R$ 900 /mês,R$ 50,"Rua Guaporé, Penha",60 m²,2,1,1
R$ 7.000 /mês,R$ 826,"Alameda A, Recreio Dos Bandeirantes",244 m²,3,4,5
R$ 1.000 /mês,R$ 311,"Cosmos, Rio de Janeiro",49 m²,2,1,1
R$ 950 /mês,R$ 330,"Estrada do Barro Vermelho, Rocha Miranda",45 m²,2,1,1
R$ 977 /mês,R$ 365,"Rua Cardoso de Morais, Bonsucesso",54 m²,2,0,1
R$ 1.800 /mês,R$ 695,"Avenida Presidente Antônio Carlos, Centro",86 m²,2,0,1
R$ 1.100 /mês,0,"Campo Grande, Rio de Janeiro",100 m²,2,1,2
R$ 2.700 /mês,R$ 924,"Rua Barata Ribeiro, Copacabana",62 m²,2,0,1
R$ 4.000 /mês,R$ 382,"Rua Alfredo Chaves, Humaitá",52 m²,0,0,1
R$ 935 /mês,0,"Rua Itamarati, Cascadura",70 m²,1,1,2
R$ 1.200 /mês,R$ 780,"Rua Ferreira Cardoso, Del Castilho",78 m²,2,1,1
R$ 805 /mês,R$ 510,"Rua Camarista Meier, Engenho De Dentro",70 m²,2,1,1
R$ 20.000 /mês,R$ 40.952,"Rua Augusto de Vasconcelos, Campo Grande",612 m²,0,12,2
R$ 1.600 /mês,R$ 782,"Rua Haddock Lobo, Tijuca",160 m²,3,0,2
R$ 2.500 /mês,R$ 1.100,"Travessa Teodomiro Pereira, Freguesia- Jacarepaguá",150 m²,3,1,4
R$ 1.200 /mês,R$ 293,"Rua Americana, Cachambi",70 m²,2,0,1
R$ 1.000 /mês,R$ 289,"Engenho Novo, Rio de Janeiro",47 m²,2,0,1
R$ 850 /mês,R$ 300,"Rua Carlos Palut, Taquara",42 m²,1,1,1
R$ 1.200 /mês,0,"Avenida Camões, Penha",90 m²,2,0,1
R$ 950 /mês,0,"Estrada Manuel Nogueira de Sá, Realengo",47 m²,0,0,1
R$ 700 /mês,R$ 360,"Praça Olavo Bilac, Centro",25 m²,0,0,1
R$ 600 /mês,R$ 565,"Praça Olavo Bilac, Centro",32 m²,0,0,1
R$ 650 /mês,R$ 772,"Centro, Rio de Janeiro",30 m²,0,0,1
R$ 1.700 /mês,R$ 700,"Rua A, Freguesia",75 m²,2,1,2
R$ 1.000 /mês,R$ 480,"Centro, Rio de Janeiro",33 m²,0,0,1
R$ 1.400 /mês,R$ 900,"Rua São Francisco Xavier, Maracanã",46 m²,1,1,1
R$ 1.200 /mês,R$ 554,"Rua Miguel Fernandes, Méier",66 m²,2,2,1
R$ 10.000 /mês,R$ 3.200,"Rua da Assembléia, Centro",200 m²,0,0,2
R$ 800 /mês,R$ 320,"Rua do Oriente, Santa Teresa",48 m²,1,0,1
R$ 2.500 /mês,R$ 881,"Rua Historiador Werneck da Silva, Recreio Dos Bandeirantes",65 m²,2,1,2
R$ 1.180 /mês,R$ 300,"Rua João Romariz, Ramos",55 m²,2,0,1
R$ 1.400 /mês,R$ 640,"Rua José Vicente, Grajaú",55 m²,1,1,1
R$ 700 /mês,R$ 374,"Avenida Almirante Barroso, Centro",25 m²,0,0,1
R$ 618 /mês,R$ 247,"Estrada do Pre, Campo Grande",55 m²,2,1,1
R$ 1.000 /mês,R$ 607,"Avenida das Américas, Barra da Tijuca",28 m²,1,0,1
R$ 800 /mês,R$ 546,"Rua General Clarindo, Engenho De Dentro",48 m²,2,1,1
R$ 2.300 /mês,R$ 900,"Rua Afonso Pena, Tijuca",78 m²,3,1,2
R$ 15.000 /mês,R$ 1.762,"Avenida Brasil, Bangu",5453 m²,1,0,1
R$ 5.500 /mês,R$ 3.778,"Avenida Vieira Souto, Ipanema",136 m²,3,2,4
R$ 1.950 /mês,R$ 660,"Avenida Dom Hélder Câmara, Todos os Santos",76 m²,3,2,3
R$ 1.700 /mês,R$ 715,"Avenida Paulo de Frontin, Rio Comprido",90 m²,2,1,2
R$ 800 /mês,R$ 450,"Estrada da Posse, Campo Grande",50 m²,1,1,1
R$ 500 /mês,R$ 403,"Estrada do Tindiba, Pechincha",18 m²,0,0,0
R$ 3.148 /mês,R$ 836,"Rua Omar Bandeira Ramidan Sobrinho, Recreio Dos Bandeirantes",88 m²,3,1,1
R$ 1.200 /mês,R$ 710,"Avenida João Cabral de Mello Neto, Barra da Tijuca",36 m²,0,1,1
R$ 1.100 /mês,R$ 445,"Rua Vinte de Abril, Centro",50 m²,1,0,1
R$ 1.000 /mês,R$ 502,"Rua Cristóvão Colombo, Cachambi",57 m²,2,1,1
R$ 1.100 /mês,R$ 600,"Rua Oswaldo Lussac, Taquara",60 m²,2,1,1
R$ 500 /mês,R$ 430,"Avenida Erasmo Braga, Centro",29 m²,0,0,1
R$ 1.000 /mês,R$ 430,"Avenida Princesa Isabel, Copacabana",40 m²,0,0,1
R$ 2.200 /mês,R$ 530,"Rua Eulino Nogueira, Campo Grande",95 m²,3,1,2
R$ 35.000 /mês,0,"Engenho Novo, Rio de Janeiro",2081 m²,0,40,0
R$ 1.650 /mês,R$ 550,"Rua Pinheiro Guimarães, Botafogo",70 m²,1,0,1
R$ 660 /mês,R$ 350,"Estrada João Melo, Campo Grande",47 m²,2,1,1
R$ 1.800 /mês,R$ 1.205,"Ipanema, Rio de Janeiro",35 m²,0,0,1
